fundHouse,schemeCode,fundName
Axis Mutual Fund,135765,Axis Children's Gift Fund - Lock in - Direct Dividend
Axis Mutual Fund,135762,Axis Children's Gift Fund - Lock in - Direct Growth
Axis Mutual Fund,135760,Axis Children's Gift Fund - Lock in - Dividend
Axis Mutual Fund,135759,Axis Children's Gift Fund - Lock in - Growth
Axis Mutual Fund,135763,Axis Children's Gift Fund - without Lock in - Direct Dividend
Axis Mutual Fund,135764,Axis Children's Gift Fund - without Lock in - Direct Growth
Axis Mutual Fund,135761,Axis Children's Gift Fund - without Lock in - Dividend
Axis Mutual Fund,135766,Axis Children's Gift Fund - without Lock in - Growth
Axis Mutual Fund,120523,Axis Triple Advantage Fund - Direct Plan - Dividend Option
Axis Mutual Fund,120524,Axis Triple Advantage Fund - Direct Plan - Growth Option
Axis Mutual Fund,113065,Axis Triple Advantage Fund - Dividend Option
Axis Mutual Fund,113064,Axis Triple Advantage Fund - Growth Option
Baroda Pioneer Mutual Fund,125112,Baroda Pioneer Balance Fund - Plan A - Bonus Option
Baroda Pioneer Mutual Fund,101913,BARODA PIONEER BALANCE FUND - Plan A - Dividend Option
Baroda Pioneer Mutual Fund,101912,BARODA PIONEER BALANCE FUND - Plan A - Growth Option
Baroda Pioneer Mutual Fund,119325,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Dividend Option
Baroda Pioneer Mutual Fund,119326,BARODA PIONEER BALANCE FUND - Plan B (Direct) - Growth Option
Birla Sun Life Mutual Fund,120518,Birla Sun Life Balanced '95 Fund - Direct Plan-Dividend
Birla Sun Life Mutual Fund,120517,Birla Sun Life Balanced '95 Fund - Direct Plan-Growth
Birla Sun Life Mutual Fund,103154,Birla Sun Life Balanced '95 Fund - Regular Plan-Dividend
Birla Sun Life Mutual Fund,103155,Birla Sun Life Balanced '95 Fund - Regular Plan-Growth
Birla Sun Life Mutual Fund,131671,Birla Sun Life Balanced Advantage Fund - Direct Plan - Dividend Option
Birla Sun Life Mutual Fund,131670,Birla Sun Life Balanced Advantage Fund - Direct Plan - Growth Option
Birla Sun Life Mutual Fund,131665,Birla Sun Life Balanced Advantage Fund - Regular Plan - Dividend Option
Birla Sun Life Mutual Fund,131666,Birla Sun Life Balanced Advantage Fund - Regular Plan - Growth Option
BNP Paribas Mutual Fund,141005,BNP PARIBAS BALANCED FUND -DIRECT PLAN- DIVIDEND OPTION
BNP Paribas Mutual Fund,141006,BNP PARIBAS BALANCED FUND- DIRECT PLAN - GROWTH OPTION
BNP Paribas Mutual Fund,141007,BNP PARIBAS BALANCED FUND- REGULAR PLAN- DIVIDEND OPTION
BNP Paribas Mutual Fund,141004,BNP PARIBAS BALANCED FUND- REGULAT PLAN -GROWTH OPTION
BOI AXA Mutual Fund,127852,BOI AXA EQUITY DEBT REBALANCER FUND  DIRECT PLAN DIVIDEND
BOI AXA Mutual Fund,127851,BOI AXA EQUITY DEBT REBALANCER FUND  REGULAR PLAN DIVIDEND
BOI AXA Mutual Fund,127850,BOIAXAEQUITY DEBT REBALANCER FUND DIRECT PLAN  GROWTH
BOI AXA Mutual Fund,127849,BOIAXAEQUITY DEBT REBALANCER FUND REGULAR PLAN  GROWTH
Canara Robeco Mutual Fund,118272,Canara Robeco Balance - Direct Plan - Growth
Canara Robeco Mutual Fund,118271,Canara Robeco Balance - Direct Plan - Monthly Dividend
Canara Robeco Mutual Fund,106166,Canara Robeco Balance - Regular Plan - Growth
Canara Robeco Mutual Fund,106167,Canara Robeco Balance - Regular Plan - Monthly Dividend
DSP BlackRock Mutual Fund,119020,DSP BlackRock Balanced Fund - Direct Plan - Dividend
DSP BlackRock Mutual Fund,119019,DSP BlackRock Balanced Fund - Direct Plan - Growth
DSP BlackRock Mutual Fund,131086,DSP BlackRock Balanced Fund - Direct Plan - Quarterly Dividend
DSP BlackRock Mutual Fund,131087,DSP BlackRock Balanced Fund - Regular Plan - Quarterly Dividend
DSP BlackRock Mutual Fund,100081,DSP BlackRock Balanced Fund- Regular Plan - Growth
DSP BlackRock Mutual Fund,100082,DSP BlackRock Balanced Fund- Regular Plan -Dividend
Edelweiss Mutual Fund,140361,Edelweiss Balanced Advantage Fund - Direct Plan - Dividend Option
Edelweiss Mutual Fund,140357,Edelweiss Balanced Advantage Fund - Direct Plan - Growth Option
Edelweiss Mutual Fund,140360,Edelweiss Balanced Advantage Fund - Regular Plan - Bonus Option
Edelweiss Mutual Fund,140362,Edelweiss Balanced Advantage Fund - Regular Plan - Dividend Option
Edelweiss Mutual Fund,140359,Edelweiss Balanced Advantage Fund - Regular Plan - Growth Option
Escorts Mutual Fund,101069,Escorts Balanced Fund-Dividend Option
Escorts Mutual Fund,120818,Escorts Balanced Fund-Dividend Option-Direct Plan
Escorts Mutual Fund,101070,Escorts Balanced Fund-Growth Option
Escorts Mutual Fund,120819,Escorts Balanced Fund-Growth Option-Direct Plan
Franklin Templeton Mutual Fund,118547,Franklin India BALANCED FUND - Direct - Dividend
Franklin Templeton Mutual Fund,118546,Franklin India BALANCED FUND - Direct - Growth
Franklin Templeton Mutual Fund,100549,Franklin India Balanced Fund-Dividend Plan
Franklin Templeton Mutual Fund,100550,Franklin India Balanced Fund-Growth Plan
HDFC Mutual Fund,100121,HDFC Balanced Fund - Dividend Option
HDFC Mutual Fund,100122,HDFC Balanced Fund - Growth Option
HDFC Mutual Fund,118932,HDFC Balanced Fund -Direct Plan - Dividend Option
HDFC Mutual Fund,118933,HDFC Balanced Fund -Direct Plan - Growth Option
HDFC Mutual Fund,100900,HDFC Children Gift Fund-Investment
