Scheme_Code,Scheme_Name
135765,Axis Children's Gift Fund - Lock in - Direct Dividend
135762,Axis Children's Gift Fund - Lock in - Direct Growth
135760,Axis Children's Gift Fund - Lock in - Dividend
135759,Axis Children's Gift Fund - Lock in - Growth
135763,Axis Children's Gift Fund - without Lock in - Direct Dividend
135764,Axis Children's Gift Fund - without Lock in - Direct Growth
135761,Axis Children's Gift Fund - without Lock in - Dividend
135766,Axis Children's Gift Fund - without Lock in - Growth
120523,Axis Triple Advantage Fund - Direct Plan - Dividend Option
120524,Axis Triple Advantage Fund - Direct Plan - Growth Option
113065,Axis Triple Advantage Fund - Dividend Option
113064,Axis Triple Advantage Fund - Growth Option
120502,Axis Long Term Equity Fund - Direct Plan - Dividend option
120503,Axis Long Term Equity Fund - Direct Plan - Growth Option
112322,Axis Long Term Equity Fund - Dividend
112323,Axis Long Term Equity Fund - Growth
120472,Axis Gold Fund - Direct Plan - Dividend option
120473,Axis Gold Fund - Direct Plan - Growth option
115898,Axis Gold Fund - Dividend Option
115897,Axis Gold Fund - Growth Option
128957,Axis Constant Maturity 10 Year Fund - Direct Plan - Bonus Option
120448,Axis Constant Maturity 10 Year Fund - Direct Plan - Half Yearly Dividend Option
120449,Axis Constant Maturity 10 Year Fund - Direct Plan - Regular Dividend Option
116471,Axis Constant Maturity 10 Year Fund - Growth Option
116472,Axis Constant Maturity 10 Year Fund - Half Yearly Dividend Option
116470,Axis Constant Maturity 10 Year Fund - Regular Dividend Option
120447,Axis Constatnt Maturity 10 Year Fund - Direct Plan - Growth Option
113434,Axis Gold ETF
130774,Axis Enhanced Arbitrage Fund - Direct Plan - Dividend
130773,Axis Enhanced Arbitrage Fund - Direct Plan - Growth
130776,Axis Enhanced Arbitrage Fund - Regular Plan - Dividend
130771,Axis Enhanced Arbitrage Fund - Regular Plan - Growth
120466,Axis Equity Fund - Direct Plan - Dividend
120465,Axis Equity Fund - Direct Plan - Growth
112278,Axis Equity Fund - Dividend
112277,Axis Equity Fund - Growth
135120,Axis Equity Saver Fund - Direct Plan - Growth
135121,Axis Equity Saver Fund - Direct Plan - Monthly Dividend
135124,Axis Equity Saver Fund - Direct Plan - Quarterly Dividend
139520,Axis Equity Saver Fund - Direct Plan - Regular Dividend
135122,Axis Equity Saver Fund - Regular Plan - Growth
135123,Axis Equity Saver Fund - Regular Plan - Monthly Dividend
135125,Axis Equity Saver Fund - Regular Plan - Quarterly Dividend
139521,Axis Equity Saver Fund - Regular Plan - Regular Dividend
120467,Axis Focused 25 Fund - Direct Plan - Dividend Option
120468,Axis Focused 25 Fund - Direct Plan - Growth Option
117559,Axis Focused 25 Fund - Dividend Option
117560,Axis Focused 25 Fund - Growth Option
120504,Axis Midcap Fund - Direct Plan - Dividend
120505,Axis Midcap Fund - Direct Plan - Growth
114565,Axis Midcap Fund - Dividend
114564,Axis Midcap Fund - Growth
128953,Axis Banking & PSU Debt Fund - Bonus Option
117447,Axis Banking & PSU Debt Fund - Daily Dividend Option
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily Dividend Option
